Price Date,Max Price
02-01-2010,2350
04-01-2010,2000
05-01-2010,1601
06-01-2010,1755
07-01-2010,1900
07-01-2010,1741
09-01-2010,1900
11-01-2010,1700
11-01-2010,1501
12-01-2010,1454
13-01-2010,1481
14-01-2010,1850
16-01-2010,1900
18-01-2010,1950
18-01-2010,1452
19-01-2010,1655
20-01-2010,1681
21-01-2010,2200
21-01-2010,1675
22-01-2010,1753
23-01-2010,1900
25-01-2010,1805
28-01-2010,1700
30-01-2010,1625
01-02-2010,1575
03-02-2010,1381
04-02-2010,1605
04-02-2010,1372
06-02-2010,1625
08-02-2010,1605
08-02-2010,1372
09-02-2010,1335
10-02-2010,1270
11-02-2010,1500
11-02-2010,1220
15-02-2010,1400
15-02-2010,1200
16-02-2010,1140
17-02-2010,980
18-02-2010,1100
22-02-2010,951
23-02-2010,900
23-02-2010,821
24-02-2010,811
25-02-2010,761
26-02-2010,731
02-03-2010,801
03-03-2010,880
04-03-2010,1001
08-03-2010,905
08-03-2010,856
09-03-2010,862
10-03-2010,852
11-03-2010,850
11-03-2010,900
12-03-2010,880
17-03-2010,747
18-03-2010,750
19-03-2010,700
22-03-2010,800
23-03-2010,775
25-03-2010,700
25-03-2010,747
26-03-2010,531
27-03-2010,705
29-03-2010,765
08-04-2010,700
10-04-2010,615
15-04-2010,625
15-04-2010,700
16-04-2010,655
17-04-2010,600
19-04-2010,600
19-04-2010,573
20-04-2010,575
21-04-2010,600
22-04-2010,600
22-04-2010,615
23-04-2010,637
26-04-2010,640
27-04-2010,628
28-04-2010,631
29-04-2010,636
30-04-2010,600
03-05-2010,675
04-05-2010,675
06-05-2010,625
06-05-2010,595
07-05-2010,622
08-05-2010,655
10-05-2010,665
10-05-2010,597
11-05-2010,625
12-05-2010,659
13-05-2010,680
17-05-2010,748
18-05-2010,769
19-05-2010,777
20-05-2010,800
20-05-2010,720
21-05-2010,695
22-05-2010,785
24-05-2010,800
24-05-2010,754
25-05-2010,786
26-05-2010,775
27-05-2010,850
27-05-2010,787
28-05-2010,745
29-05-2010,850
31-05-2010,890
31-05-2010,766
01-06-2010,732
02-06-2010,757
03-06-2010,782
04-06-2010,773
05-06-2010,810
07-06-2010,771
08-06-2010,790
09-06-2010,780
10-06-2010,875
10-06-2010,762
11-06-2010,792
14-06-2010,930
14-06-2010,802
15-06-2010,794
16-06-2010,816
17-06-2010,1000
17-06-2010,855
19-06-2010,1000
21-06-2010,850
01-07-2010,960
01-07-2010,841
02-07-2010,800
05-07-2010,788
06-07-2010,791
07-07-2010,768
08-07-2010,940
08-07-2010,801
09-07-2010,800
10-07-2010,930
12-07-2010,975
12-07-2010,765
13-07-2010,782
14-07-2010,791
15-07-2010,1070
16-07-2010,786
19-07-2010,797
20-07-2010,805
22-07-2010,760
23-07-2010,786
26-07-2010,811
27-07-2010,819
28-07-2010,831
29-07-2010,1000
02-08-2010,975
04-08-2010,888
05-08-2010,852
06-08-2010,960
06-08-2010,839
09-08-2010,1010
10-08-2010,816
11-08-2010,891
12-08-2010,885
13-08-2010,925
16-08-2010,1013
17-08-2010,1056
18-08-2010,1011
19-08-2010,1050
20-08-2010,977
21-08-2010,1065
23-08-2010,955
25-08-2010,1017
26-08-2010,1325
26-08-2010,1125
27-08-2010,1129
28-08-2010,1450
30-08-2010,1400
31-08-2010,1207
02-09-2010,1375
04-09-2010,1450
06-09-2010,1425
06-09-2010,1215
09-09-2010,1510
09-09-2010,1351
11-09-2010,1530
16-09-2010,2025
16-09-2010,1577
17-09-2010,1591
18-09-2010,2000
20-09-2010,1850
20-09-2010,1675
21-09-2010,1660
23-09-2010,1586
24-09-2010,1590
27-09-2010,1742
28-09-2010,1756
29-09-2010,1812
30-09-2010,2200
01-10-2010,1840
04-10-2010,1702
05-10-2010,1697
07-10-2010,1900
08-10-2010,1614
11-10-2010,1558
12-10-2010,1525
13-10-2010,1625
14-10-2010,1900
14-10-2010,1712
15-10-2010,1705
16-10-2010,1900
18-10-2010,1599
19-10-2010,1605
20-10-2010,1600
21-10-2010,1930
21-10-2010,1543
22-10-2010,1552
25-10-2010,2005
26-10-2010,2005
26-10-2010,1495
27-10-2010,1600
28-10-2010,1930
28-10-2010,1716
29-10-2010,1728
30-10-2010,1975
01-11-2010,1632
06-11-2010,2510
08-11-2010,3000
09-11-2010,3011
10-11-2010,2753
11-11-2010,3625
11-11-2010,2802
12-11-2010,2648
15-11-2010,3350
15-11-2010,2952
16-11-2010,3700
