Price Date,Variety,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)

17 Jun,Other,400,1325,1000

16 Jun,Other,351,1400,850

15 Jun,Other,400,1302,800

14 Jun,Other,400,1452,800

13 Jun,Other,400,1200,800

12 Jun,Other,400,1225,900

10 Jun,Other,450,1261,850

9 Jun,Other,400,1381,850

8 Jun,Other,300,1340,900

7 Jun,Other,400,1451,1000

6 Jun,Other,451,1301,901

5 Jun,Other,600,1500,900

1 Jun,Other,300,1252,750

31 May,Other,300,1262,800

29 May,Other,400,1231,850

27 May,Other,300,1200,825

26 May,Other,300,1205,750

24 May,Other,251,1201,700

23 May,Other,300,1126,700

22 May,Other,400,1181,700

20 May,Other,300,1215,700

6 May,Other,400,1174,751

2 May,Other,300,851,551

29 Apr,Other,400,981,860

26 Apr,Other,400,920,551

25 Apr,Other,400,900,600

24 Apr,Other,400,980,640

